Name	Set	ImageFile	Type	Rarity	Number	Monster	Health	VP	Weak	Strong	Card_Text1	Card_Text2	Card_Text3	Card_Text4
Grim Man	Premiere	032	Monster	Common	32	Dark Moon	60	2	Mind	Soul	{S}{S}{JKP} {D} Induce Sleep - Discard {S}{S}. Win forces everyone (including you) to discard all Persons in play.	{A} Scythe Attack: 60		
Animal Instinct	Premiere	033	Monster	Common	33	Dark Moon	50	1	Soul	Mind	{M}{JKP} {M}{JKP} {M}{JKP} {D} Cause Anger - Discard up to {M}{M}{M}. For each {M} discarded, select 1 of the attacking opponent's Persons in play. Each win forces 1 Person to the discard pile.	{A} Electric Whip: 30		
Doom and Gloom Guys	Premiere	034	Monster	Common	34	Dark Moon	70	2	Mind	Body	{B}{B} {A} Split Attack - Discard {B}{B}. Deliver 60 damage to attacking Scout/Knight, and 30 damage to any other one of the attacking opponent's Scouts/Knights.			
Dragon/Timewarp Genie	Premiere	035	Monster	Common	35	Dark Moon	70	2	Soul	Mind	{JKP} {D} Fly Away - Win avoids attack.	{M}{JKP} {A} Reverse Time: ? - Discard {M}. Win allows the Genie to deliver the damage of the attack that the Scout/Knight used against her.		
Luna	Premiere	036	Person	Common	36						Combat Advisor - All attacks and combined attacks deliverd by your Scouts/Knights are increased by 10 points.			
Molly Osaka	Premiere	037	Person	Common	37						Unlimited Energy - Molly prevents all of your Scouts/Knights from losing any Power cards from the abilities of a Monster or Villain.			
Melvin Gurio	Premiere	038	Person	Common	38						Bookworm - At the beginning of each of your turns, draw 2 cards instead of 1. Choose 1 of the cards to place in your hand, and place the other card at the bottom of your deck. Do not shuffle.			
Grandpa Hino	Premiere	039	Person	Common	39						{JKP} Ki Blast - Win allows Grandpa Hino to knock any Monster in play to the discard pile. If you choose one of your own Monsters, play the challenge with any other player.			
Chad Kumada	Premiere	040	Person	Common	40						Good Buddy - At the beginning of your turn, you may draw your card from either the top of your deck or the top of your discard pile.			
The Tree of Life	Premiere	041	Person	Common	41						Energy Conversion - Select 1 of your Scouts/Knights. For every {X}{X} you discard that are attached to that Scout/Knight, you can search your deck for 1 other Power card. Attach the new Power card to the Scout/Knight. Shuffle Deck.			
Lunch!	Premiere	042	Item	Common	42						Need Food! - Discard {X} from any 1 Scout/Knight to remove up to 30 damage from that character. Discard Lunch! after use.			
Costume	Premiere	043	Item	Common	43						{JKP} Confuse Target! - Win indicates that the target Monster cannot use any defense abilities this turn, but can still use it's attack (if any). Discard Costume after use.			
Mini-Computer & VR Goggles	Premiere	044	Item	Common	44						{JKP} Detect Weakness! - Use during an attack/combined attack. Win indicates that 1 of your Scouts/Knights has found a weakness in the target's defenses. That Scout/Knight delivers 30 additional damage in the attack. Discard Mini-Computer & VR Goggles after use.			
Ofuda Scroll	Premiere	045	Item	Common	45						{JKP} Paralyze Monster! - Win paralyzes target Monster and prevents it from attacking your Scout/Knight this turn. Discard Ofuda Scroll after use.			
Love Letter	Premiere	046	Item	Common	46						Love Heals All! - Remove up to 20 damage from any 1 Scout/Knight. Discard Love Letter after use.			
Knight Armor	Premiere	047	Item	Common	47						Extra Defense! - Attach to 1 Scout, Knight, Monster or Villain (maximum of 1 Knight Armor per card). In the turn it is used, the Armor reduces all damage the character receives by 20. Discard Knight Armor after use.			
Negaverse Sword	Premiere	048	Item	Common	48						Powerful Attack! - Attach to 1 Monster or Villain (maximum 1 Negaverse Sword per card). In the turn it is used, the Sword increases the damage the character delivers by 20. Discard Negaverse Sword after use.			
Damage Transfer	Premiere	049	Event	Common	49						Spread the Damage - You can redistribute the damage currently on your Monsters or Villains. The total amount of damage must remain the same. You cannot reduce any Monster or Villain to 0 Health. Discard after use.			
Good Night's Rest	Premiere	050	Event	Common	50						Peaceful Sleep - Choose 1 of your Scouts/Knights. That character can both rejuvenate and attack (or participate in a Combined attack) during this turn. Discard after use.			
Detention	Premiere	051	Event	Common	51						In Trouble Again - Choose 2 cards at random from one of your opponent's hand. Those cards are discarded. Discard Detention after use.			
Split Attack	Premiere	052	Event	Common	52						Double Trouble - Discard {X}{X}. 1 Scout/Knight can attack 2 targets at the same time during this turn. Each target only receives half the normal damage (add 5 to odd numbers). Both targets can attack the Scout/Knight in return. Discard after use.			
Baby-Sitting	Premiere	053	Event	Common	53						{JKP} Taking Care of Baby Jordan - Win forces any Person in play of your choice to be discarded. Discard after use.			
Cram School	Premiere	054	Event	Common	54						Study Hard - Your search for knowledge brings great rewards. Draw 2 cards. Discard after use.			
Taunt	Premiere	055	Event	Common	55						{JKP}{JKP} Anger Your Opponent - Select 1 opponent Scout/Knight. 2 wins forces that Scout/Knight to attack one of your Monsters or Villains immediately (opponent's choice). If the Monster or Villain is defeated, the opponent is awarded that card's Victory Points. Discard after use.			
Rats!	Premiere	056	Event	Common	56						Trapped - Choose one opponent. His or her Scouts/Knights are surrounded by rats. The opponent cannot draw any cards at the beginning of his or her next turn. Discard after use.			
Combat Training	Premiere	057	Event	Common	57						Practice Makes Perfect - You can add 20 damage to any 1 Scout/Knight attack or combined attack. Discard after use.			
Run Away!	Premiere	058	Event	Common	58						{JKP} Defense Event - Win indicates that the Monster or Villain runs away to the discard pile. Discard after use.			
What's That?	Premiere	059	Event	Common	59						{JKP} Defense Event - Win indicates that the attacking Scout/Knight is startled by the target Monster or Villain. Monster or Villain only receives 10 damage from the Scout/Knight attack. Discard after use.			
Fail a Test	Premiere	060	Event	Common	60						Defense Event - Play before one of your Monsters/Villains is about to use a defense ability that requires a challenge. You may replay the challenge once if you dislike the result. Discard after use.			
Baamu	Premiere	061	Monster	Uncommon	61	Negaverse	40	1	Body	Soul	{S} {D} Fortune Telling - Discard {S}. Look at the top 5 cards of your own decl, or any 1 opponent's deck.	{A} Hair Claw: 20		
Iguaala	Premiere	062	Monster	Uncommon	62	Negaverse	20	1	Mind	Body	{B} {D} Hypnotized by Shaneera Pets - Discard {B}. Scout/Knight is prevented from attacking.	{A} Tail Whip: 40		
Ramoir/Dream Dolly	Premiere	063	Monster	Uncommon	63	Negaverse	30	1	Soul	Mind	{M}{JKP} {D} Time Control - Discard {M}. Win allows these Yoma to control time. Opponent misses his or her next turn.	{A} Illusionary Attack: 10		
Tensie/Akan	Premiere	064	Monster	Uncommon	64	Negaverse	40	1	Body	Soul	{JKP} {D} Encase Body in a Weed/Tennis Ball - Win prevents Scout/Knight from attacking.	{A} Claws and Fireballs: 30		
Petasos/Gemini Warriors	Premiere	065	Monster	Uncommon	65	Negaverse	50	2	Body	Mind	{JKP} {A} Mimic Attack - Win allows these Yoma to deliver the damage of the attack that the Scout/Knight used against them. Loss delivers 10 damage to Scout/Knight (from claws).			
Derela/Kyameran	Premiere	066	Monster	Uncommon	66	Negaverse	40	1	Body	Mind	{M} {D} Negazoom Beam - Discard {M}. Attacking opponent must discard 1 Person of your choice.	{A} Double Claw: 10		
Jumo	Premiere	067	Monster	Uncommon	67	Negaverse	50	1	Soul	Body	{B} {D} Regeneration - Discard {B}. Remove 20 damage from Jumo.	{A} Deadly Dolls: 10		
Pox	Premiere	068	Monster	Uncommon	68	Negaverse	50	2	Mind	Soul	{JKP} {D} Acrobatics - Win avoids attack.	{A} Bite: 40		
Ninjana	Premiere	069	Monster	Uncommon	69	Negaverse	60	2	Soul	Mind	{A} Shuriken: 10	{M}{JKP} {A} Multiply and Attack: 40 - Discard {M}. Win increases Ninjana's damage to 70 points total.		
Doom & Gloom Girls	Premiere	070	Monster	Uncommon	70	Negaverse	80	2	Soul	Mind	{M}{JKP} {D} Vine Trap - Discard {M}. Win allows you to make an additional attack against the Scout/Knight with any other Monster you have in play (Scout/Knight cannot attack the second Monster this turn.	{A} Ice Attack: 50		
Water Sprite	Premiere	071	Monster	Uncommon	71	Negaverse	30	2	Mind	Soul	{S} {D} Fly Away - Discard {S}. Attack is avoided.	{S} {A} Spiked Tail: 60 - Discard {S}.		
Vampeal	Premiere	072	Monster	Uncommon	72	Doom Tree	30	1	Mind	Body	{B}{B} {D} Drain Power - Discard {B}{B}. Attacker must discard 2 Power cards of your choice.	{A} Bite: 30		
Minotaur	Premiere	073	Monster	Uncommon	73	Doom Tree	50	1	Soul	Body	{B} {D} Power Drain - Discard {B}. Attacker must discard 1 Power card of your choice.	{A} Horns: 30		
Skulker	Premiere	074	Monster	Uncommon	74	Doom Tree	70	2	Body	Mind	{M}{M}{M} {D} Power Drain - Discard {M}{M}{M}. Attacker must discard all attached Power cards.	{A} Bubble Trap: 10		
Insectia	Premiere	075	Monster	Uncommon	75	Doom Tree	60	1	Mind	Soul	{JKP} {D} Crazy! - Win avoids attack. Discard Insectia.	{A} Ram: 30		
Jellax/Droido	Premiere	076	Monster	Uncommon	76	Dark Moon	50	1	Soul	Body	{B}{JKP} {D} Powder Cloud - Discard {B}. Win prevents Scout/Knight from attacking this turn, and the next turn.	{A} Arm Spike and Acid Spit: 40		
Rhonda	Premiere	077	Monster	Uncommon	77	Dark Moon	50	2	Mind	Body	{A} Wrestling: 50			
Marzipan	Premiere	078	Monster	Uncommon	78	Dark Moon	70	2	Soul	Body	{B} {D} Item to Candy - Discard {B}. Attacking opponent must discard 1 Item of your choice.	{A} Icing Spray: 30		
Regalia	Premiere	079	Monster	Uncommon	79	Dark Moon	20	2	Body	Soul	{A} Toying with Emotions - Regalia delivers twice the damagge of the attack that the Scout/Knight used against her to any of the attacking opponent's Scouts/Knights in play.			
Injector	Premiere	080	Monster	Uncommon	80	Dark Moon	70	2	Body	Mind	{D} Induce Sickness - All opponent Scouts/Knights in play are sick and cannot rejuvenate this turn.	{A} Scalpel Arm: 10		
Mistrust	Premiere	081	Monster	Uncommon	81	Dark Moon	30	1	Mind	Soul	{JKP}{JKP} {D} Hallucination Doubt - 2 wins indicate that the attacking Scout/Knight is confused and wanders to the discard pile.	{JKP} {A} Clone Attack: 20 - Win allows Mistrust to also deliver 20 damage to each of the attacking opponent's Scouts/Knights in play.		
Artemis	Premiere	082	Person	Uncommon	82						Helping Hand - The maximum number of cards you can hold in your hand is increased from 5 to 6 when Artemis is in play. At the end of each of your turns, draw enough cards to bring your hand up to 6 total.			
Ms. Haruna	Premiere	083	Person	Uncommon	83						{JKP} Knowledge is Power - Win allows you to look at any opponent's hand. Ms. Haruna can only be used once each turn.			
Andrew Furuhata	Premiere	084	Person	Uncommon	84						True Friend - Andrew adds one additional {B}, {M}, or {S} to each Scout/Knight in your Ally Zone (the power must match the cards' Power Icon Types). The bonus Power cannot be used to rejuvenate.			
Serena's Parents	Premiere	085	Person	Uncommon	85						Sanctuary - For every Power card that your Scouts/Knights discard during rejuvenation, they can remove an additional 10 damage.			
Sammy Tsukino	Premiere	086	Person	Uncommon	86						{JKP}{JKP} Annoyance - Select one opponent Person as a taret. 2 wins indicate that Sammy has pestered the target so much that he or she moves to the discard pile. Sammy can only be used once each turn.			
Luna Pen	Premiere	087	Item	Uncommon	87						Disguise Power! - After one of your Scouts/Knights has attacked, the Luna Pen can be used to disguise the Character. The target Monster or Villain cannot attack the Scout/Knight in return. Discard Luna Pen after use.			
Negaverse Crystal	Premiere	088	Item	Uncommon	88						Summon Yoma! - Search your deck for 1 Yoma and bring it into play immediately. Shuffle deck. Yoma may be replaced by a Negaverse Villain this round. Discard Negaverse Crystal after use.			
Cardian Flute	Premiere	089	Item	Uncommon	89						Summon Cardian! - Search your deck for 1 Cardian and bring it into play immediately. Shuffle deck. Cardian may be replaced by a Doom Tree Villain this round. Discard Cardian Flute after use.			
Luna Ball	Premiere	090	Item	Uncommon	90						Luna P Kitty Magic! - When you use this Item, it can imitate any other Item in play, or in your discard pile. Follow instructions on the other Item's card. Discard Luna Ball after use.			
Dark Fruit	Premiere	091	Item	Uncommon	91						{JKP} Infect with Dark Energy - Dark Fruit can make any 1 Scout/Knight of your choice very angry. Win indicates the Scout/Knight is upset and cannot attacknext turn. Discard Dark Fruit after use.			
Dark Crystal Wedge	Premiere	092	Item	Uncommon	92						Summon Droid! - Search your deck for 1 Droid and bring it into play immediately. Shuffle deck. Droid may be replaced by a Dark Moon Villain this round. Discard Dark Crystal Wedge after use.			
FM No. 10	Premiere	093	Event	Uncommon	93						Call for a Friend - You can broadcast a request for a friend's help on the radio. Search your deck for 1 Person and bring him or her into play immediately.			
Confusion	Premiere	094	Event	Uncommon	94						????? - Select 1 opponent. He or she must discard his or her entire hand, and draw 5 new cards. Discard after use.			
Temple Blessing	Premiere	095	Event	Uncommon	95						Safe at the Temple - Remove 10 damage from each of your Scouts/Knights in play. Discard after use.			
Discovery!	Premiere	096	Event	Uncommon	96						GASP! - Discard {X}{X} from 1 Scout/Knight. Search your deck for 1 PIE card. You can place this card into your hand or play it immediately. Shuffle deck. Discard after use.			
Redistribute Power	Premiere	097	Event	Uncommon	97						The Flow of Power - You can redistribute the Power cards currently on your Scouts, Knights, Monsters and Villains in any way. The total amount of Power cards must remain the same. Discard after use.			
Memories of the Past	Premiere	098	Event	Uncommon	98						A Familiar Card - Discard {X}{X} from 1 Scout/Knight. Search your discard pile for 1 card. You can place this card into your hand or play it immediately. Discard after use.			
Resignation	Premiere	099	Event	Uncommon	99						Time to Move On - Remove 1 of your Scots/Knights from play. You can automatically defeat any opponent Monster that is worth 1 Victory point. Discard after use.			
Regeneration	Premiere	100	Event	Uncommon	100						A Time to Heal - Remove up to 20 damage from one of your Monsters or Villains. Discard after use.			
Green Yoma From London	Premiere	101	Event	Uncommon	101						{JKP} Defense Event - The Green Yoma grabs one Person in play of your choice to use as a shield for the target Monster or Villain. Win indicates that the attacking Scout/Knight hits the Person instead of the intended target, which forces the Person to the discard pile. Discard after use.			
Hidden	Premiere	102	Event	Uncommon	102						Defense Event - Dark forces hide the target Monster or Villain from the attacking Scout/Knight. The attacker must now attack one alternative target Monster or Villain in play (attacker's choice). Discard after use.			
More Dark Power	Premiere	103	Event	Uncommon	103						Defense Event - When the target Monster or Villain attacks the Scout/Knight, he or she delivers an additional 10 damage. Discard after use.			
Not So Tough	Premiere	104	Event	Uncommon	104						Defense Event - After one of your 2 Victory Point Monsters has been defeated, you can reduce its Victory Point value from 2 points to 1 point. Discard after use.			
Negative Energy Shield	Premiere	105	Event	Uncommon	105						Defense Event - The maximum damage the target Monster or Villain will receive in this attack is 30. Any damage above 30 is ignored. Discard after use.			
Sailor Moon, Level 1	Premiere	106	Scout/Knight	Uncommon	106		50				{S}{S} {A} Moon Tiara Magic: 30	{S}{S}{X} {A} Moon Healing Activation: 40		
Sailor Mercury, Level 1	Premiere	107	Scout/Knight	Uncommon	107		40				{M}{M}{JKP} {A} Mercury Bubbles Blast: 30 - Win prevents target from attacking.			
Sailor Mars, Level 1	Premiere	108	Scout/Knight	Uncommon	108		60				{S}{S} {A} Mars Fire Ignite: 30			
Sailor Jupiter, Level 1	Premiere	109	Scout/Knight	Uncommon	109		70				{B}{B} {A} Jupiter Thunder Crash: 30			
Sailor Venus, Level 1	Premiere	110	Scout/Knight	Uncommon	110		50				{M}{M} {A} Venus Crescent Beam Smash: 30			
Tuxedo Mask, Level 1	Premiere	111	Scout/Knight	Uncommon	111		80				{B} {A} Cane Attack: 10	{B}{B}{B}{X}{JKP} {A} Rose Throw: 30 - Win interrupts target, and prevents it from attacking.		
Moonlight Knight, Level 1	Premiere	112	Scout/Knight	Uncommon	112		80				{B}{B} {A} Sword Attack: 20	{B}{B}{B}{X}{JKP} {A} White Rose Throw: 40 - Win interrupts target, and prevents it from attacking.		
Prince Darien, Level 1	Premiere	113	Scout/Knight	Uncommon	113		80				{D} Knight Armor - Ignore 10 damage from each attack.	{B}{B}{X} {A} Sword Attack: 40		
Sailor Moon, Level 2	Premiere	114	Scout/Knight	Uncommon	114		70				{S}{S} {A} Moon Tiara Magic: 30	{S}{S}{X} {A} Moon Healing Activation: 40	{S}{S}{S}{S} {A} Cosmic Moon Power: 50	
Sailor Mercury, Level 2	Premiere	115	Scout/Knight	Uncommon	115		50				{M}{M}{JKP} {A} Mercury Bubbles Blast: 30 - Win prevents target from attacking.	{M}{M}{M}{M}{JKP} {A} Mercury Ice Bubbles Freeze: 50 - Win prevents target from attacking.		
Sailor Mars, Level 2	Premiere	116	Scout/Knight	Uncommon	116		80				{S}{S} {A} Mars Fire Ignite: 30	{S}{S}{S}{S} {A} Mars Firebird Strike: 50		
Sailor Jupiter, Level 2	Premiere	117	Scout/Knight	Uncommon	117		90				{B}{B} {A} Jupiter Thunder Crash: 30	{B}{B}{B}{B} {A} Jupiter Thunder Dragon: 50		
Sailor Venus, Level 2	Premiere	118	Scout/Knight	Uncommon	118		70				{M}{M} {A} Venus Crescent Beam Smash: 30	{M}{M}{M}{M} {A} Venus Meteor Shower: 50		
Jedite	Premiere	119	Villain	Uncommon	119	Negaverse	120	3			{D} Magical Item Creation - Search deck for 2 Items and bring them into play immediately. Shuffle deck.	{A} Electric Bolts: 40		
Zoycite	Premiere	120	Villain	Uncommon	120	Negaverse	100	3			{S} {D} Mind Control - Discard {S}. Attacker must discard 1 Person of your choice.	{D} Black Homing Crystal - Search deck for 2 Yoma and/or Items (maximum of 2 cards) and bring cards into playy immediately. Shuffle deck.	{A} Magical Fireball: 30	
Rini	Premiere	121	Person	Rare	121						Hidden Crystal of Power - Rini adds 60 damage to your combined attacks. It si your choice whether or not you use Rini for a combined attack.			
Pocket Communicator	Premiere	122	Item	Rare	122						Call for Help! - Discard {X} attached to one of your Scouts/Knights. Search deck for one Level 1 Scout/Knight and bring that character into play immediately. Shuffle deck. Discard Pocket Communicator after use.			
Moon Star Locket	Premiere	123	Item	Rare	123						Inspiriation and Hope! - Requires {X} to be attached to the Moon Locket. Discard A before a challenge. If you lose, the challenge must be repeated. MAximum of 1 A may be attached. Discard Moon Star Locket after use.			
Imperium Silver Crystal	Premiere	124	Item	Rare	124						Power Up! - Discard {X}{X} attached to one of your Scouts/Knights. Search your deck for that Scout/Knight's next Level card and bring it into play immediately. Shuffle deck. Discard Imperium Silver Crystal after use.			
Spaceship	Premiere	125	Item	Rare	125						Excellent View! - Discard {X} attached to one of your Scouts/Knights. You may look at your opponent's hand and the top 5 cards of his or her deck. Discard Spaceship after use.			
Negamoon Bomb	Premiere	126	Event	Rare	126						{JKP} Massive Destruction! - Discard {X}{X} attached to one of your Scouts/Knights. Select any 2 opponent Monsters, Items or Persons. Win indicates that the target cards are discarded. Discard Negamoon Bomb after use.			
On the Ball	Premiere	127	Event	Rare	127						Awesome Attack - After 1 of yout Scouts/Knights has attacked a Monster, he or she can make a second attack against the same Monster (it cannot attack back). The Scout/Knight automatically suffers 20 damage during this second attack. Discard after use.			
Strength of the Fallen	Premiere	128	Event	Rare	128						Back from Defeat! - Bring any 1 of your defeated Scouts/Knights back into the game. Place the Level 1 Scout/Knight card into your deck and shuffle. Level 2 or higher Scout/Knight cards cannot be returned. Discard after use.			
Overpowering Attack	Premiere	129	Event	Rare	129						Lose Power! - Choose 1 type of Power card ({B}, {M}, {S}). Your opponent must discard all Power cards of that type currently attached to their Scouts/Knights. Discard after use.			
Self-Sacrifice	Premiere	130	Event	Rare	130						Defense Event - If the target was not destroyed by the Scout/Knight attack, it can sacrifice itself by reducing its remaining Health to 0. In return, the target reduce event one of the attacking opponent's Scouts/Knights Health to 10 (until they rejuvenate as normal). Discard after use.			
Lose Powers	Premiere	131	Event	Rare	131						{JKP} Defense Event - Win forces the attacking Scout/Knight to power down 1 Level. The opponent must discard the highest Level Scout/Knight card on the attacking character. Cannot be used against a Level 1 Scout/Knight. Discard after use.			
Sailor Moon, Level 3	Premiere	132	Scout/Knight	Rare	132		90				{S}{S} {A} Moon Tiara Magic: 30	{S}{S}{X} {A} Moon Healing Activation: 40	{S}{S}{S}{S} {A} Cosmic Moon Power: 50	{S}{S}{S}{S}{S}{S} {A} Moon Scepter Elimination: 90
Sailor Mercury, Level 3	Premiere	133	Scout/Knight	Rare	133		80				{M}{M}{JKP} {A} Mercury Bubbles Blast: 30 - Win prevents target from attacking.	{M}{M}{M}{M}{JKP} {A} Mercury Ice Bubbles Freeze: 50 - Win prevents target from attacking.	{M}{M}{X}{X}{JKP} {A} Shine Aqua Illusion: 70 - Win prevents target from attacking.	
Sailor Mars, Level 3	Premiere	134	Scout/Knight	Rare	134		110				{S}{S} {A} Mars Fire Ignite: 30	{S}{S}{S}{S} {A} Mars Firebird Strike: 50	{S}{S}{X}{X} {A} Mars Celestial Fire Surround: 70	
Sailor Jupiter, Level 3	Premiere	135	Scout/Knight	Rare	135		120				{B}{B} {A} Jupiter Thunder Crash: 30	{B}{B}{B}{B} {A} Jupiter Thunder Dragon: 50	{B}{B}{X}{X} {A} Jupiter Thundercrash Zap: 70	
Sailor Venus, Level 3	Premiere	136	Scout/Knight	Rare	136		100				{M}{M} {A} Venus Crescent Beam Smash: 30	{M}{M}{M}{M} {A} Venus Meteor Shower: 50	{M}{M}{X}{X} {A} Venus Love Chain Encircle: 70	
Nephlite	Premiere	137	Villain	Rare	137	Negaverse	160	4			{B} {D} Power of the Stars - Discard {B}. Attacking opponnet must discard all Persons in play.	{A} Explosive Energy Balls: 60		
Malachite	Premiere	138	Villain	Rare	138	Negaverse	180	4			{B}{B}{X} {D} Black Dome - Discard {B}{B}{X}. Malachite avoids attack.			
Evil Prince Darien	Premiere	139	Villain	Rare	139	Negaverse	80	3			{D} Negaverse Knight Armor - Ignore 50 damage from each attack.	{A} Sword Attack: 40		
Alan	Premiere	140	Villain	Rare	140	Doom Tree	170	4			{S} {D} Soul Drain - Discard {S}. Deliver 20 damage to each of the attacking opponent's Monsters. Monster armor or strength can reduce this damage.	{A} Power Blast: 50		
Ann	Premiere	141	Villain	Rare	141	Doom Tree	170	4			{S} {D} Doom Tree Regeneration - Discard {S}. Remove up to 30 damage from Ann.	{A} Power Blast: 50		
